cost,accuracy
7.192937146601466,28.125
2.9565305047054835,25.0
2.26239427480723,18.75
2.1200955239852854,15.625
2.096145771291618,15.625
2.072535683860144,15.625
2.024290738725847,15.625
2.0100827170320277,15.625
1.953230246862103,18.75
1.9226984145823727,25.0
1.9087132535746236,28.125
1.9243963162705477,25.0
1.9464031199878769,25.0
1.9089198521012203,28.125
1.8504074535897983,34.375
1.8036989838067257,40.625
1.7898031644878118,37.5
1.8098592152337214,28.125
1.7783880757516832,37.5
1.7543671239916072,37.5
1.725449015654885,37.5
1.705326858475853,40.625
1.683321828454361,40.625
1.652857938029672,34.375
1.6259138162848985,34.375
1.5584588326503006,43.75
1.529222763949912,50.0
1.5332799719116088,53.125
1.5210609870302068,53.125
1.4788120180818947,46.875
1.4731473861291295,43.75
1.459498362768635,46.875
1.4182018959495006,46.875
1.371584258616567,50.0
1.3479051492613086,53.125
1.3534375576245135,53.125
1.4416586900541961,56.25
1.392418961974759,46.875
1.358266623564102,50.0
1.3281630489420087,50.0
1.2797413528641999,50.0
1.2468191775253574,50.0
1.2214608783576208,53.125
1.255814269497202,59.375
1.0789084695345306,62.5
1.0428137650424723,62.5
1.0375084400386185,62.5
1.033132045304117,65.625
1.030920907695609,62.5
1.0336303645779692,62.5
1.027667257136126,59.375
1.0302830131826872,59.375
1.0372193808342094,59.375
1.0422139067099077,59.375
1.0519914595213542,56.25
1.0189870661455416,56.25
0.7938440090284271,62.5
0.7621790486536106,65.625
0.7450094444750005,65.625
0.7381522469455499,71.875
0.7312307704396308,71.875
0.7402354425321513,68.75
0.7571573912282537,68.75
0.8118659594442772,68.75
0.8652719767448498,71.875
0.8998640088501584,65.625
0.9502572106088112,62.5
1.0571180408232923,59.375
1.1467173440672322,62.5
1.0021946973765197,68.75
0.8363441920475838,71.875
0.834653837930568,68.75
0.8080480002508212,68.75
0.7346054512135415,75.0
0.698878544309164,71.875
0.6930849049538405,75.0
0.7172399286425053,75.0
0.7806929379284959,75.0
0.8952630439868752,78.125
1.0592231915670922,75.0
0.8570912091740743,81.25
0.8191117531722047,75.0
0.9697747308440583,62.5
0.8507970473112214,71.875
0.7097365930980417,75.0
0.6671559128724573,78.125
0.6584408324409318,81.25
0.6439128215467833,81.25
0.6414344389953407,81.25
0.6767781701770847,81.25
0.6842788473221895,75.0
0.7339962701195755,75.0
0.6469978234329133,81.25
0.5698824846515129,87.5
0.5770001853232143,81.25
0.566834612410622,84.375
0.560607620454061,84.375
0.5535352590431599,84.375
0.5456399961210525,84.375
0.5379950927271028,84.375
0.5279549143417104,84.375
0.510267311600068,84.375
0.501596191098058,84.375
0.4958629187939432,81.25
0.4924394627211802,84.375
0.502095664423236,81.25
0.4861381004401583,84.375
0.46842456244730446,84.375
0.4779365298309619,84.375
0.4933099173466423,81.25
0.5246194270233503,81.25
0.508893488566966,81.25
0.5223773944845096,84.375
0.5313684619306484,84.375
0.5402549120500127,84.375
0.5396456350638091,84.375
0.5421025582786094,84.375
0.5598035481267281,84.375
0.42825068640545655,90.625
0.4115316458038275,84.375
0.3970838303047255,87.5
0.41706855696145745,87.5
0.37808304350560296,84.375
0.3717812876105907,84.375
0.3641580174397384,84.375
0.3562019463162587,84.375
0.34966504512015095,87.5
0.34428723114533566,87.5
0.3398561137621768,87.5
0.33592217176366174,87.5
0.3322727738143353,87.5
0.33003145482290375,84.375
0.3321110048462604,84.375
0.3427200095969278,84.375
0.3507266153298869,87.5
0.3581474935971669,84.375
0.375551577070164,84.375
0.39164092749108387,84.375
0.3921792325865492,84.375
0.3617817232131527,84.375
0.3526206547703974,87.5
0.3560258261920012,87.5
0.3630837803030128,87.5
0.37562916989830936,87.5
0.38699667630961554,87.5
0.40041393876947495,90.625
0.41356752839844957,90.625
0.42214235006200534,90.625
0.4332248586608252,90.625
0.4454389212120805,90.625
0.45620698558927814,90.625
0.4586807733948346,87.5
0.4583909503652157,87.5
0.4529077046071897,84.375
0.4671234789023495,87.5
0.4708101774754157,84.375
0.4713340064961649,87.5
0.5202411923693914,87.5
0.5334930367325981,84.375
0.5895046144403737,78.125
0.662686862628537,75.0
0.663949955580695,78.125
0.45956661672605886,84.375
0.49611196302089944,81.25
0.5294314904643932,78.125
0.5173587405456178,81.25
0.48752595416788674,81.25
0.4612540817498887,81.25
0.4423128304104418,81.25
0.4257240044214008,81.25
0.5930520736195232,75.0
0.5856702852567955,75.0
0.5145780982163313,84.375
0.4616591779823132,90.625
0.4605991945557785,84.375
0.439379307028889,84.375
0.4096025038969567,87.5
0.3877210646028392,84.375
0.38786416540223617,84.375
0.4158822053358897,84.375
0.45837720949407823,78.125
0.5608620725259544,78.125
0.5291355981587381,75.0
0.50739004085484,78.125
0.4895599011871654,81.25
0.47990479074046777,81.25
0.4727213171682959,84.375
0.4636634194589647,84.375
0.44462395783641906,81.25
0.4291466320935695,87.5
0.4145024589829,87.5
0.40102107165398737,87.5
0.39474121364731163,84.375
0.396687589324316,84.375
0.3999320433647264,81.25
0.40153362501739753,81.25
0.40084736022780626,81.25
0.4008400781818231,81.25
0.4030886847558631,81.25
0.40522028922981934,78.125
